ID,NUM_UNICO_IMPORTADOR,NOMBRE_COMUNA
1,12516,LAMPA
2,10870,PUDAHUEL
3,7250,ESTACION CENTRAL
4,13324,QUILICURA
5,1900,QUILICURA
6,1656,COLINA
7,5333,SAN BERNARDO
8,7347,LAS CONDES
9,10957,PUDAHUEL
10,12896,LAS CONDES
11,7763,CHILLAN
12,5131,OSORNO
13,1182,SANTIAGO
14,2121,SANTIAGO
15,7706,LAS CONDES
16,13984,MACUL
17,8812,COLINA
18,3829,VITACURA
19,7563,VITACURA
20,11275,VITACURA
21,11576,VITACURA
22,5778,VITACURA
23,12953,VITACURA
24,13103,VINA DEL MAR
25,5698,VITACURA
26,7274,SANTIAGO
27,2082,HUECHURABA
28,8094,HUECHURABA
29,11177,LO BARNECHEA
30,13058,EL BOSQUE
31,11410,PEUMO
32,13882,MELIPILLA
33,12337,SAN BERNARDO
34,14212,MAULE
35,11725,CASABLANCA
36,10596,CON CON
37,10502,VINA DEL MAR
38,1608,IQUIQUE
39,1285,SANTIAGO
40,8979,CURACAVI
41,2024,HUECHURABA
42,11311,LA FLORIDA
43,10472,LOS ANGELES
44,5123,PUENTE ALTO
45,10489,IQUIQUE
46,5063,LA SERENA
47,13154,SAN ANTONIO
48,8650,ISLA DE MAIPO
49,12175,SAN PEDRO DE LA PAZ
50,6108,SAN ANTONIO
51,16,LO BARNECHEA
52,898,VITACURA
53,10408,LIMACHE
54,12651,VITACURA
55,3846,PUDAHUEL
56,12992,LAS CONDES
57,7054,QUILICURA
58,12852,LO BARNECHEA
59,10664,CONCEPCION
60,712,VITACURA
61,6966,ANTOFAGASTA
62,1651,SANTIAGO
63,490,VITACURA
64,12367,CONCEPCION
65,12182,INDEPENDENCIA
66,8401,LOS ANGELES
67,4437,PUNTA ARENAS
68,770,VITACURA
69,9142,VITACURA
70,2872,LAS CONDES
71,9205,LAS CONDES
72,9379,REQUINOA
73,6369,LIMACHE
74,1513,BUIN
75,8838,CURICO
76,3943,LAUTARO
77,499,VITACURA
78,9090,QUILICURA
79,7080,CURICO
80,10452,SANTIAGO
81,3576,COLINA
82,5679,SANTIAGO
83,217,HUECHURABA
84,2938,VITACURA
85,2103,LAMPA
86,738,QUILPUE
87,11295,PROVIDENCIA
88,11140,P.AGUIRRE CERDA
89,7249,QUILICURA
90,380,HUECHURABA
91,14090,VITACURA
92,10884,SANTIAGO
93,12666,SANTIAGO
94,7307,LAMPA
95,11393,LAS CONDES
96,5627,QUILICURA
97,9413,COLINA
98,13435,CONCEPCION
99,11953,RENCA
100,11316,COLINA
101,3467,ANTOFAGASTA
102,5806,SANTIAGO
103,3199,CORONEL
104,11605,PAINE
105,6989,QUILPUE
106,511,SAN ESTEBAN
107,2366,VALDIVIA
108,2330,SAN PEDRO DE LA PAZ
109,4164,QUILICURA
110,2509,PUERTO MONTT
111,13310,PENAFLOR
112,3975,SANTIAGO
113,3169,LO BARNECHEA
114,2384,PROVIDENCIA
115,8871,VITACURA
116,5529,LAMPA
117,14057,LA GRANJA
118,10304,VINA DEL MAR
119,14027,SANTA CRUZ
